,Problem,P1,P2,P3,PJS1,PJS2,PJS3,MSPJS1,MSPJS2,MSPJS3,Heur,RTMeta,IntMeta,SepHeur,SepMeta
38,g346_4_c.txt,p3.4.c.txt,p4.4.c.txt,p6.4.c.txt,0.002,0.025,0.007,1.497,24.336,7.068,0.001,44.33,692.942,0.033,32.901
39,g346_4_n.txt,p3.4.n.txt,p4.4.n.txt,p6.4.n.txt,0.001,0.026,0.007,1.511,26.301,7.131,0.001,45.843,702.468,0.035,34.943
40,g127_2_c.txt,p1.2.c.txt,p2.2.c.txt,p7.2.c.txt,0.002,0.001,0.026,1.449,0.593,26.314,0.001,24.701,379.192,0.028,28.357
41,g127_2_k.txt,p1.2.k.txt,p2.2.k.txt,p7.2.k.txt,0.001,0.001,0.028,1.155,0.543,27.793,0.001,25.539,392.038,0.029,29.49
42,g456_4_n.txt,p4.4.n.txt,p5.4.n.txt,p6.4.n.txt,0.028,0.008,0.007,26.575,7.677,7.174,0.001,65.663,1029.764,0.043,41.425
43,g256_2_k.txt,p2.2.k.txt,p5.2.k.txt,p6.2.k.txt,0.001,0.008,0.007,0.563,7.779,7.149,0.001,24.057,366.071,0.016,15.491
44,g456_4_c.txt,p4.4.c.txt,p5.4.c.txt,p6.4.c.txt,0.024,0.008,0.009,24.485,8.169,7.198,0.001,65.499,1017.224,0.042,39.852
45,g256_4_k.txt,p2.4.k.txt,p5.4.k.txt,p6.4.k.txt,0.001,0.008,0.007,0.462,7.698,6.97,0.001,23.735,360.367,0.015,15.13
46,g146_2_n.txt,p1.2.n.txt,p4.2.n.txt,p6.2.n.txt,0.001,0.026,0.007,1.272,26.211,7.206,0.001,44.116,683.061,0.034,34.689
47,g256_4_c.txt,p2.4.c.txt,p5.4.c.txt,p6.4.c.txt,0.001,0.007,0.009,0.406,6.865,6.306,0.001,21.323,325.344,0.017,13.576
48,g146_2_c.txt,p1.2.c.txt,p4.2.c.txt,p6.2.c.txt,0.002,0.026,0.007,1.473,26.207,7.509,0.001,44.034,683.597,0.035,35.189
49,g123_4_c.txt,p1.4.c.txt,p2.4.c.txt,p3.4.c.txt,0.001,0.0,0.001,1.215,0.4,1.02,0.0,6.15,91.064,0.003,2.635
50,g356_2_c.txt,p3.2.c.txt,p5.2.c.txt,p6.2.c.txt,0.001,0.007,0.006,1.423,7.397,6.304,0.001,27.644,419.263,0.015,15.124
51,g146_4_c.txt,p1.4.c.txt,p4.4.c.txt,p6.4.c.txt,0.001,0.024,0.007,1.45,24.334,7.166,0.001,43.268,672.458,0.033,32.95
52,g456_2_c.txt,p4.2.c.txt,p5.2.c.txt,p6.2.c.txt,0.026,0.008,0.009,25.755,7.766,7.134,0.001,65.39,1025.608,0.043,40.655
53,g356_2_n.txt,p3.2.n.txt,p5.2.n.txt,p6.2.n.txt,0.002,0.008,0.007,1.561,7.707,7.094,0.001,28.689,437.619,0.016,16.361
54,g123_2_k.txt,p1.2.k.txt,p2.2.k.txt,p3.2.k.txt,0.001,0.001,0.002,1.434,0.559,1.518,0.0,6.923,103.976,0.004,3.511
55,g346_2_c.txt,p3.2.c.txt,p4.2.c.txt,p6.2.c.txt,0.002,0.026,0.007,1.589,25.938,7.142,0.001,44.372,692.092,0.035,34.669
